task,run_name,layer,weight_module_count,weight_max_abs_max,weight_p999_abs_mean,weight_top_0p1pct_abs_share_mean,activation_module_count,activation_max_abs_max,activation_ratio_abs_gt_6p0_mean,activation_ratio_abs_gt_8p0_mean,activation_max_abs_over_abs_mean_mean
dep,formal_e3_ms256_retry1,19,6,5.362122058868408,0.1135892781118552,0.0050013985642986675,7,92.27729034423828,0.0006133321731809586,0.0002666034395732577,69.60977861904334
dep,formal_e3_ms256_retry1,20,6,5.009181022644043,0.11901392787694931,0.00560000527831165,7,80.47119903564453,0.0002524368346683563,0.00019474937802269344,42.585044087405
dep,formal_e3_ms256_retry1,21,6,5.68190860748291,0.11749471475680669,0.005514012478435942,7,97.76701354980469,0.00023921557835170198,0.00010770237635052394,50.45546872047709
dep,formal_e3_ms256_retry1,22,6,6.9429216384887695,0.12872415160139403,0.00629626237407335,7,47.952720642089844,8.256170484754774e-05,5.280328175378224e-05,25.198985314337456
dep,formal_e3_ms256_retry1,23,6,1.2959280014038086,0.11785295605659485,0.00468761113966444,7,11.666792869567871,3.522615584116134e-05,6.743839808872767e-07,19.087844125942603
ner,formal_e3_ms256_tner,0,6,2.8074066638946533,0.11755084867278735,0.005826912431001385,7,113.27572631835938,0.02120635713849749,0.0028746758188520154,68.54895435940391
ner,formal_e3_ms256_tner,1,6,1.7163368463516235,0.1127106969555219,0.005550824463271624,7,93.41046142578125,0.009364687034061977,0.0010104097638811383,78.85991841929534
ner,formal_e3_ms256_tner,2,6,1.5463826656341553,0.11126181483268738,0.005330407942977726,7,90.55833435058594,0.0020661149706159322,0.0006018287794930594,68.89807580110815
ner,formal_e3_ms256_tner,3,6,0.612892210483551,0.11600235352913539,0.0051851935106567845,7,81.27835083007812,0.0008453137534005303,0.0005507149015154157,71.92780924709561
ner,formal_e3_ms256_tner,4,6,3.23616886138916,0.11583047360181808,0.005147952569629358,7,80.40559387207031,0.0008901412146432059,0.0006786217008318221,84.10255520175133
ner,formal_e3_ms256_tner,5,6,3.1297953128814697,0.11624461660782497,0.005138338129735556,7,68.39808654785156,0.0008319592475891114,0.0002720315115792411,70.56784099270395
ner,formal_e3_ms256_tner,6,6,3.6070501804351807,0.11549623310565948,0.005090029236778736,7,86.56148529052734,0.000993814127785819,0.00039976188114711214,73.30997261033107
ner,formal_e3_ms256_tner,7,6,2.831519365310669,0.11366202309727669,0.005054870855110783,7,68.85031127929688,0.0010116812161036898,0.0003617235592433384,133.59141756798422
ner,formal_e3_ms256_tner,8,6,2.3400793075561523,0.11266449342171352,0.005051725082536102,7,75.37740325927734,0.0007303425243922641,0.0005629549707685197,85.53039940196652
ner,formal_e3_ms256_tner,9,6,2.7472760677337646,0.11884446193774541,0.005329251981185127,7,71.02223205566406,0.0006484597069876535,0.000562239715031215,80.7584570418677
ner,formal_e3_ms256_tner,10,6,4.293209075927734,0.1206675556798776,0.005412737725791979,7,63.464664459228516,0.0006353030885968889,0.0005670145579746791,74.37269787859233
ner,formal_e3_ms256_tner,11,6,5.519632816314697,0.12109694629907608,0.0051281563204473,7,80.86109161376953,0.0006592634746006556,0.0005682158470153809,86.948181337415
ner,formal_e3_ms256_tner,12,6,4.975360870361328,0.12184636170665424,0.005174711879272079,7,79.72602844238281,0.0006485353197370256,0.0005653647014072963,72.4390825070505
ner,formal_e3_ms256_tner,13,6,4.615163326263428,0.11967350418368976,0.005076539197105582,7,82.9225845336914,0.0007104403632027762,0.0005748707907540458,61.82230826810791
ner,formal_e3_ms256_tner,14,6,3.1557836532592773,0.11903486276666324,0.005052910332240126,7,76.57715606689453,0.0008453484943934849,0.0006543053899492535,54.71906287014595
ner,formal_e3_ms256_tner,15,6,2.6489365100860596,0.11672294264038403,0.005075776895486161,7,47.54962921142578,0.0005835410526820592,0.0003688621520996094,42.76942946244791
ner,formal_e3_ms256_tner,16,6,1.2594863176345825,0.11638576413194339,0.005010941851007335,7,63.23442840576172,0.0007151300566537039,0.0005237180846078055,45.04155260070603
ner,formal_e3_ms256_tner,17,6,4.455631732940674,0.11525019506613414,0.005059435661888165,7,55.367225646972656,0.0006718754768371581,0.000562704290662493,79.50842898453338
