task,run_name,layer,module,module_name,shape,numel,mean,std,abs_mean,max_abs,p99_abs,p999_abs,p9999_abs,top_0p1pct_abs_share,top_1pct_abs_share,max_abs_over_abs_mean,p999_abs_over_p99_abs,ratio_abs_gt_3p0sigma,ratio_abs_gt_4p0sigma,ratio_abs_gt_5p0sigma,top_out_channel,top_out_channel_max_abs,median_out_channel_max_abs,top_in_channel,top_in_channel_max_abs,median_in_channel_max_abs,top_out_channel_over_median,top_in_channel_over_median
ner,formal_e3_ms256_tner,17,attn_q,attention.self.query,1024x1024,1048576,3.661459777504206e-05,0.04050978273153305,0.03221951425075531,0.21849434077739716,0.10546793788671494,0.13642068207263947,0.16302843391895294,0.004599537720867259,0.03696658071121512,6.781428766334523,1.293480130607763,0.0031423568725585938,0.00010585784912109375,5.7220458984375e-06,113,0.21849434077739716,0.1385343074798584,933,0.21849434077739716,0.1402081400156021,1.5771857870597448,1.5583570308619992
ner,formal_e3_ms256_tner,17,attn_v,attention.self.value,1024x1024,1048576,-2.4727629352128133e-05,0.0274980328977108,0.02178482711315155,0.1747564673423767,0.07252887636423111,0.09437942504882812,0.11324124783277512,0.00473038156473267,0.03770863009634359,8.021935011679567,1.3012668854108016,0.0036563873291015625,0.0001583099365234375,8.58306884765625e-06,267,0.1747564673423767,0.0952957347035408,633,0.1747564673423767,0.09725026786327362,1.833833044952467,1.796976719776966
ner,formal_e3_ms256_tner,17,ffn_in,intermediate.dense,4096x1024,4194304,5.739834887208417e-05,0.033202238380908966,0.026290543377399445,0.5675553679466248,0.0865064412355423,0.11541841179132462,0.21488988399505615,0.005654839300405225,0.038419831185065596,21.5878142874187,1.3342175466108928,0.0034546852111816406,0.00039839744567871094,0.00020122528076171875,2690,0.5675553679466248,0.11225439608097076,834,0.5675553679466248,0.14141644537448883,5.05597453428228,4.013361857906028
ner,formal_e3_ms256_tner,17,ffn_out,output.dense,1024x4096,4194304,-8.146635082084686e-06,0.032028235495090485,0.025024961680173874,4.455631732940674,0.0845176950097084,0.11452534794807434,0.16005036234855652,0.0056718352698669925,0.03950946225184728,178.0474947328557,1.3550458035434947,0.0040433406829833984,0.0004029273986816406,9.989738464355469e-05,314,4.455631732940674,0.13361196219921112,2690,4.455631732940674,0.11066784709692001,33.347551069547734,40.26130307783568
ner,formal_e3_ms256_tner,18,attn_k,attention.self.key,1024x1024,1048576,2.291189957759343e-05,0.0391354076564312,0.031100809574127197,0.3228468894958496,0.10204831510782242,0.13342030346393585,0.16795721650123596,0.004783618278930738,0.037342948215021515,10.380658700422588,1.3074228939788604,0.0033779144287109375,0.0001926422119140625,3.337860107421875e-05,116,0.3228468894958496,0.13655847311019897,314,0.3228468894958496,0.13459725677967072,2.3641659293841175,2.3986141859067347
ner,formal_e3_ms256_tner,18,attn_out,attention.output.dense,1024x1024,1048576,-5.553921255341265e-06,0.027032336220145226,0.021402673795819283,0.14885282516479492,0.07144033908843994,0.0930703803896904,0.1134401261806488,0.004765472339563393,0.03785935313541923,6.954870526217676,1.3027706975812843,0.0037603378295898438,0.00018596649169921875,4.76837158203125e-06,677,0.14885282516479492,0.09438471496105194,235,0.14885282516479492,0.09386160224676132,1.5770861333449953,1.5858756040991306
ner,formal_e3_ms256_tner,18,attn_q,attention.self.query,1024x1024,1048576,2.4695455067558214e-05,0.038963139057159424,0.0309853944927454,0.2836892902851105,0.10160009562969208,0.13135582208633423,0.158892422914505,0.004647959213730294,0.037066542263472474,9.155581038399577,1.2928710477310437,0.0032243728637695312,0.00013065338134765625,1.71661376953125e-05,913,0.2836892902851105,0.1342686414718628,314,0.2836892902851105,0.1332658976316452,2.1128484445458557,2.128746328406119
ner,formal_e3_ms256_tner,18,attn_v,attention.self.value,1024x1024,1048576,5.167326162336394e-05,0.02896365523338318,0.02293865755200386,0.1904255598783493,0.07630828022956848,0.0995800644159317,0.12139865756034851,0.0047591017698356925,0.03776139509811453,8.301512825963707,1.3049706285654923,0.0036725997924804688,0.00016689300537109375,9.5367431640625e-06,552,0.1904255598783493,0.09906661510467529,633,0.1904255598783493,0.10264259576797485,1.922197096137208,1.8552293855546014
ner,formal_e3_ms256_tner,18,ffn_in,intermediate.dense,4096x1024,4194304,8.039063686737791e-05,0.03273820877075195,0.02591755799949169,1.1509089469909668,0.08482932299375534,0.11186466366052628,0.21183866262435913,0.00564151182628795,0.03812405390163545,44.40653502207033,1.3187027753217024,0.0031936168670654297,0.00031113624572753906,0.00016617774963378906,3874,1.1509089469909668,0.1106768548488617,929,1.1509089469909668,0.15067973732948303,10.39882230627738,7.638113573786885
ner,formal_e3_ms256_tner,18,ffn_out,output.dense,1024x4096,4194304,-1.1435567103035282e-05,0.0322294756770134,0.02519676461815834,5.443109035491943,0.08439025282859802,0.1131797581911087,0.1521180421113968,0.005421646563348047,0.0388890223627435,216.02412523905167,1.3411472817954937,0.0037391185760498047,0.00032019615173339844,7.62939453125e-05,314,5.443109035491943,0.13016639649868011,3874,5.443109035491943,0.1107756495475769,41.81654545186043,49.13633147467295
ner,formal_e3_ms256_tner,19,attn_k,attention.self.key,1024x1024,1048576,-3.403182199690491e-05,0.03787772357463837,0.030135514214634895,0.29586151242256165,0.09841473400592804,0.12802192568778992,0.162027508020401,0.004756147265376388,0.037074234305821276,9.81770247274827,1.300841047643115,0.0031757354736328125,0.00018405914306640625,3.4332275390625e-05,832,0.29586151242256165,0.1305759698152542,91,0.29586151242256165,0.12939248979091644,2.265818992890975,2.2865431595036174
ner,formal_e3_ms256_tner,19,attn_out,attention.output.dense,1024x1024,1048576,1.0233683497062884e-05,0.028676683083176613,0.02277357317507267,0.1738170087337494,0.0748768150806427,0.09761220216751099,0.11773074418306351,0.004671752659128323,0.037272210909789244,7.6323995096212975,1.3036372081582552,0.0033960342407226562,0.00013065338134765625,7.62939453125e-06,143,0.1738170087337494,0.09995481371879578,548,0.1738170087337494,0.09958864748477936,1.7389558568209744,1.7453496269272533
ner,formal_e3_ms256_tner,19,attn_q,attention.self.query,1024x1024,1048576,1.7318219761364162e-05,0.0377618707716465,0.030019018799066544,0.32844117283821106,0.09825044870376587,0.12998351454734802,0.1817723512649536,0.004999475338318171,0.03749182196352546,10.941102873369868,1.3229813834159705,0.0032854080200195312,0.00029277801513671875,8.0108642578125e-05,358,0.32844117283821106,0.13415959477424622,314,0.32844117283821106,0.1286812424659729,2.4481377823992942,2.5523624620352927
ner,formal_e3_ms256_tner,19,attn_v,attention.self.value,1024x1024,1048576,-5.078251433587866e-06,0.02997053600847721,0.023717675358057022,0.16325287520885468,0.0792408213019371,0.10346238315105438,0.12504348158836365,0.0047643308447201166,0.03793129428829693,6.883173529626578,1.3056702524173,0.0038175582885742188,0.0001850128173828125,5.7220458984375e-06,541,0.16325287520885468,0.10430441051721573,66,0.16325287520885468,0.1060781180858612,1.565157929557632,1.5389872874320354
ner,formal_e3_ms256_tner,19,ffn_in,intermediate.dense,4096x1024,4194304,4.3051550164818764e-05,0.03232366964221001,0.025743303820490837,0.46531054377555847,0.08367419987916946,0.10784167796373367,0.13147088885307312,0.004626418289356117,0.03672604780421669,18.075012710885474,1.2888283140975771,0.002954244613647461,0.0001227855682373047,1.9311904907226562e-05,4021,0.46531054377555847,0.109467051923275,929,0.46531054377555847,0.12557870149612427,4.250690373042043,3.7053301095800815
ner,formal_e3_ms256_tner,19,ffn_out,output.dense,1024x4096,4194304,-1.0962042324536014e-05,0.03244705870747566,0.02536732517182827,5.364895343780518,0.08414861559867859,0.11519324034452438,0.2071380913257599,0.006191543433615692,0.039425615165424664,211.48841304476642,1.3689261495863907,0.003506183624267578,0.0004870891571044922,0.0002167224884033203,314,5.364895343780518,0.13329704105854034,4021,5.364895343780518,0.11552093923091888,40.24767017464705,46.44089097177819
ner,formal_e3_ms256_tner,20,attn_k,attention.self.key,1024x1024,1048576,-4.3686550270649604e-06,0.03765382617712021,0.029853379353880882,0.3735921382904053,0.09849806129932404,0.129429429769516,0.19111810624599457,0.00511248354459744,0.03791527449442708,12.514232772841478,1.3140302262010535,0.003520965576171875,0.000301361083984375,0.000102996826171875,319,0.3735921382904053,0.13203632831573486,143,0.3735921382904053,0.1295313537120819,2.829464762130045,2.884183076792463
