task,run_name,layer,module,capture_point,sample_count,count,mean,std,abs_mean,abs_std,max_abs,max_abs_over_abs_mean,ratio_abs_gt_1p0,ratio_abs_gt_2p0,ratio_abs_gt_3p0,ratio_abs_gt_4p0,ratio_abs_gt_6p0,ratio_abs_gt_8p0,ratio_abs_gt_10p0
ner,formal_e3_ms256_tner,14,ffn_out_input,linear_input,512,419430400,-0.03983753438107669,0.15533172242404053,0.07872838603332638,0.13970259256495632,10.36619758605957,131.6703937214142,0.004912319183349609,0.0007110190391540527,0.00010342836380004883,1.585245132446289e-05,1.3113021850585938e-06,1.220703125e-06,1.1658668518066405e-06
ner,formal_e3_ms256_tner,14,gelu_input,intermediate_dense_output,512,419430400,-1.933221474289894,1.1419856147762804,1.9821717393398286,1.0547376966687354,12.713802337646484,6.414077087932287,0.8076906895637512,0.48089103937149047,0.16624704360961914,0.03357554674148559,0.0010046958923339844,6.192445755004883e-05,3.197193145751953e-06
ner,formal_e3_ms256_tner,15,attn_k_input,linear_input,512,104857600,0.005982777840690687,0.6500529545077974,0.47612646743655207,0.44261521020113803,13.3421630859375,28.022309193965274,0.09399493217468262,0.003293895721435547,0.0010657787322998046,0.0009556007385253906,0.0008746433258056641,0.0005311012268066406,9.302139282226563e-05
ner,formal_e3_ms256_tner,15,attn_out_input,linear_input,512,104857600,0.0026877198906004197,0.20924859566581136,0.13244066704064608,0.16202366598788356,3.454580545425415,26.0839863058467,0.0037354469299316407,3.842353820800781e-05,9.5367431640625e-08,0.0,0.0,0.0,0.0
ner,formal_e3_ms256_tner,15,attn_q_input,linear_input,512,104857600,0.005982777840690687,0.6500529545077974,0.47612646743655207,0.44261521020113803,13.3421630859375,28.022309193965274,0.09399493217468262,0.003293895721435547,0.0010657787322998046,0.0009556007385253906,0.0008746433258056641,0.0005311012268066406,9.302139282226563e-05
ner,formal_e3_ms256_tner,15,attn_v_input,linear_input,512,104857600,0.005982777840690687,0.6500529545077974,0.47612646743655207,0.44261521020113803,13.3421630859375,28.022309193965274,0.09399493217468262,0.003293895721435547,0.0010657787322998046,0.0009556007385253906,0.0008746433258056641,0.0005311012268066406,9.302139282226563e-05
ner,formal_e3_ms256_tner,15,ffn_in_input,linear_input,512,104857600,-0.021234502075240014,1.1818160128960522,0.6788590756058693,0.9676209732552563,47.54962921142578,70.04344630583101,0.2195235824584961,0.021312780380249023,0.0027703380584716795,0.0013463973999023437,0.0010060787200927735,0.0009757804870605468,0.0009666156768798829
ner,formal_e3_ms256_tner,15,ffn_out_input,linear_input,512,419430400,-0.030989457378163932,0.19277167807673032,0.08836943488568068,0.17410373147953215,9.95512580871582,112.6534963315573,0.008119163513183593,0.0014212417602539062,0.00024140834808349609,4.030942916870117e-05,1.5163421630859376e-06,1.220703125e-06,0.0
ner,formal_e3_ms256_tner,15,gelu_input,intermediate_dense_output,512,419430400,-1.865047695040703,1.1872909153912157,1.935710324048996,1.0682172831017485,12.655963897705078,6.538149712004499,0.7846873259544372,0.46521238565444945,0.16457291841506957,0.032146503925323484,0.0004532623291015625,1.1730194091796876e-05,2.455711364746094e-06
ner,formal_e3_ms256_tner,16,attn_k_input,linear_input,512,104857600,-0.010496517897117884,0.7178321690225913,0.5164384037256241,0.49868284001855523,14.389444351196289,27.86284723868286,0.11999567985534668,0.005190916061401367,0.0011380386352539062,0.0009760093688964843,0.0009342670440673828,0.0008173179626464844,0.0004714393615722656
