task	budget	strategy	phase	major	f1_micro	measured_bop	bop_error	relative_bop_error_pct	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_probing	delta_f1_vs_probing	delta_major_vs_late	min_weight_ratio	min_activation_ratio	weight_floor_ok	activation_floor_ok	run_name
dep	low	probing	bopfix2	0.9517792961931155	0.9066848219224714	0.0032936616403495484	4.944633758929883e-05	1.524138596696356	0.0030842658205449958	0.005992476306969641	0.0	0.0		0.000365540288239	0.00182770144119			ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	low	fisher	pilot	0.9478592882667198	0.8990707556280447	0.0031829702855980502	-6.124501716219932e-05	-1.887822214206647	-0.0008357421058506898	-0.001621589987456984	-0.0039200079263956855	-0.007614066294426625		0.000354971875435	0.00166526886028	True	True	ptq_fisher_w4a4_out8_low_fisher_fixedseed20260806_cal16_dep_e3_retry1
dep	low	fisher	bopfix2	0.9521215593518704	0.907345113902491	0.003234507416713289	-9.707886046960486e-06	-0.2992367996877632	0.0034265289792998477	0.006652768286989241	0.0003422631587548519	0.0006602919800196005		0.000358105347024	0.001676642224	True	True	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	low	probefisher	pilot	0.9435239326628209	0.8906523666399982	0.0030916184880763727	-0.00015259681468387685	-4.7036586799292905	-0.005171097709749661	-0.01003997897550346	-0.008255363530294657	-0.0160324552824731		0.000396934172069	0.00168749967108	True	True	ptq_fisher_w4a4_out8_low_probefisher_fixedseed20260806_cal16_dep_e3_retry1
dep	low	probefisher	bopfix2	0.9504084688607849	0.9040272746643938	0.003230217038219104	-1.3998264541145375e-05	-0.4314838330623516	0.0017134384882143694	0.003334929048892099	-0.0013708273323306264	-0.0026575472580775417		0.000409645482821	0.00172007692454	True	True	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	uniform	reference	0.9677406292274116	0.9376402528153501	0.004165898948076782	0.0	0.0	0.0	0.0	-0.004560171270147073	-0.008829530490411353		0.0007	0.0035			ptq_oa_w4a4_dualout8_boundaryrefine_w0p070_a0p350_fixedseed20260806_cal16_ms256_dep_e3_retry1
dep	boundary	probing	bopfix2	0.9723008004975586	0.9464697833057615	0.004231443333011376	6.55443849345936e-05	1.5733551329864204	0.004560171270147073	0.008829530490411353	0.0	0.0		0.000468691267584	0.00234345633792			ptq_pgfloor50_w4a4_out8_w0p070_a0p350_probing_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	fisher	pilot	0.9705904152314868	0.9431580672923241	0.0041175842689067	-4.8314679170081976e-05	-1.1597659898204382	0.002849786004075261	0.00551781447697397	-0.0017103852660718122	-0.0033117160134373824		0.000451782508287	0.00211943353543	True	True	ptq_fisher_w4a4_out8_boundary_fisher_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	fisher	bopfix2	0.9720075289505035	0.9458989212535566	0.004159902518871686	-5.996429205096243e-06	-0.14394082237315642	0.00426689972309191	0.00825866843820644	-0.0002932715470551628	-0.0005708620522049124		0.000454211839891	0.00212825112677	True	True	ptq_fisher_w4a4_out8_boundary_fisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	probefisher	pilot	0.9694604565378686	0.9409658634951337	0.00394030435123041	-0.00022559459684637264	-5.415268100790582	0.001719827310457056	0.0033256106797835416	-0.002840343959690017	-0.005503919810627811		0.000505188544488	0.00214772582439	True	True	ptq_fisher_w4a4_out8_boundary_probefisher_fixedseed20260806_cal16_dep_e3_retry1
dep	boundary	probefisher	bopfix2	0.9744629036033381	0.9506564240133317	0.004302476301802347	0.00013657735372556504	3.2784605538407785	0.00672227437592654	0.013016171197981596	0.002162103105779467	0.004186640707570244		0.000523808691409	0.00219544657149	True	True	ptq_fisher_w4a4_out8_boundary_probefisher_bopfix2_fixedseed20260806_cal16_dep_e3_retry1
