phase	budget	seed	strategy	major	f1_micro	acc	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	bop_error_vs_uniform	relative_bop_error_vs_uniform	within_2pct_uniform_bop	probing_minus_major	probing_minus_f1	run_name
pilot	low	20260808	uniform	0.9371326499538031	0.8782190607916749	0.9960462391159314	0.0034927267939841547	0.0	0.0	0.0	0.0	True	-0.00044291919855543593	-0.00085518908793214	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260808_cal16_ms256_dep_e3_retry1
pilot	low	20260808	probing	0.9366897307552476	0.8773638717037427	0.9960155898067525	0.003232302857796207	-0.00044291919855543593	-0.00085518908793214	-0.00026042393618794756	-0.07456178268409075	False	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_fixedseed20260808_cal16_dep_e3_retry1
pilot	low	20260808	inverse	0.8619887536095396	0.7316020574582863	0.9923754497607928	0.004111454718373275	-0.07514389634426344	-0.14661700333338856	0.0006187279243891207	0.17714752996278232	False	0.074700977145708	0.14576181424545642	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_fixedseed20260808_cal16_dep_e3_retry1
pilot	low	20260808	early	0.7905153420915345	0.5914357682619648	0.9895949159211044	0.003279407693600652	-0.14661730786226856	-0.28678329252971013	-0.00021331910038350273	-0.06107523232304395	False	0.14617438866371313	0.285928103441778	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_fixedseed20260808_cal16_dep_e3_retry1
pilot	low	20260808	late	0.7032096684152251	0.4209870247606097	0.9854323120698405	0.004943783067092703	-0.23392298153857793	-0.4572320360310652	0.0014510562731085484	0.415450837897724	False	0.2334800623400225	0.4563768469431331	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_late_fixedseed20260808_cal16_dep_e3_retry1
pilot	low	20260808	random_s29	0.7956655326892039	0.6015985839533147	0.9897324814250931	0.004437552248847934	-0.14146711726459915	-0.2766204768383602	0.0009448254548637789	0.2705122703817369	False	0.14102419806604372	0.2757652877504281	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_random_s29_fixedseed20260808_cal16_dep_e3_retry1
pilot	low	20260809	uniform	0.9370448236667611	0.8780626531326566	0.9960269942008656	0.0032756907442583268	0.0	0.0	0.0	0.0	True	-0.013626340379754853	-0.026509969592897198	ptq_oa_w4a4_dualout8_boundaryrefine_w0p055_a0p275_fixedseed20260809_cal16_ms256_dep_e3_retry1
pilot	low	20260809	probing	0.9234184832870063	0.8515526835397594	0.9952842830342531	0.0029578223420333276	-0.013626340379754853	-0.026509969592897198	-0.0003178684022249992	-0.09703858729098987	False	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_probing_fixedseed20260809_cal16_dep_e3_retry1
pilot	low	20260809	inverse	0.7888038292543254	0.5881567230632235	0.9894509354454272	0.003947187766824212	-0.14824099441243577	-0.2899059300694331	0.0006714970225658854	0.20499402263259867	False	0.1346146540326809	0.2633959604765359	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_inverse_fixedseed20260809_cal16_dep_e3_retry1
pilot	low	20260809	early	0.7260787993023536	0.46465325067945157	0.9875043479252557	0.003123053919659288	-0.21096602436440748	-0.41340940245320507	-0.00015263682459903862	-0.04659683606170162	False	0.19733968398465263	0.38689943286030787	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_early_fixedseed20260809_cal16_dep_e3_retry1
pilot	low	20260809	late	0.7732318466216554	0.5579985251140306	0.9884651681292802	0.004029316120387504	-0.16381297704510567	-0.32006412801862605	0.0007536253761291768	0.23006609444134526	False	0.15018663666535081	0.29355415842572885	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_late_fixedseed20260809_cal16_dep_e3_retry1
pilot	low	20260809	random_s29	0.7229418994729879	0.45879998805363914	0.9870838108923368	0.004109058995533743	-0.2141029241937732	-0.4192626650790175	0.000833368251275416	0.2544099294892702	False	0.20047658381401834	0.3927526954861203	ptq_pgfloor50_w4a4_out8_w0p055_a0p275_random_s29_fixedseed20260809_cal16_dep_e3_retry1
pilot	boundary	20260806	uniform	0.9677406292274116	0.9376402528153501	0.9978410056394729	0.004165898948076782	0.0	0.0	0.0	0.0	True	-0.004274142698527772	-0.00828598433245531	ptq_oa_w4a4_dualout8_boundaryrefine_w0p070_a0p350_fixedseed20260806_cal16_ms256_dep_e3_retry1
pilot	boundary	20260806	probing	0.9634664865288838	0.9293542684828948	0.9975787045748727	0.003820626906059084	-0.004274142698527772	-0.00828598433245531	-0.00034527204201769855	-0.08288056103163421	False	0.0	0.0	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_probing_fixedseed20260806_cal16_dep_e3_retry1
pilot	boundary	20260806	inverse	0.9521877545391277	0.9074639615589962	0.9969115475192591	0.0046450603614954416	-0.015552874688283813	-0.030176291256353904	0.0004791614134186592	0.11501993192606545	False	0.011278731989756041	0.021890306923898595	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_inverse_fixedseed20260806_cal16_dep_e3_retry1
pilot	boundary	20260806	early	0.9491478561588179	0.9015488157383839	0.996746896579252	0.00403262185021439	-0.018592773068593638	-0.03609143707696627	-0.00013327709786239202	-0.0319923981650876	False	0.014318630370065866	0.02780545274451096	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_early_fixedseed20260806_cal16_dep_e3_retry1
pilot	boundary	20260806	late	0.9616421042848531	0.925840931174926	0.9974432773947802	0.004624015507077447	-0.00609852494255847	-0.011799321640424076	0.00045811655900066493	0.10996823607835178	False	0.0018243822440306978	0.003513337307968767	ptq_pgfloor50_w4a4_out8_w0p070_a0p350_late_fixedseed20260806_cal16_dep_e3_retry1
