task	budget	seed	strategy	major	f1_micro	measured_bop	delta_major_vs_uniform	delta_f1_vs_uniform	delta_major_vs_probing	delta_f1_vs_probing	relative_bop_error_vs_uniform_pct	run_name
ner	low	20260808	uniform	0.9576789698661985	0.9234005929042747	0.004058743648313769	0.0	0.0	-0.005523229073867708	-0.01007752427621722	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260808_cal16_ner_e3
ner	low	20260808	probing	0.9632021989400662	0.9334781171804919	0.003924305571448631	0.005523229073867708	0.01007752427621722	0.0	0.0	-3.312307662519931	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260808_cal16_ner_e3
ner	low	20260808	fisher	0.9598364804279069	0.927329044555635	0.004058287150516439	0.002157510561708431	0.003928451651360354	-0.003365718512159277	-0.006149072624856866	-0.011247268536396238	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260808_cal16_ner_e3
ner	low	20260808	probefisher	0.9613213352904773	0.9300427147603227	0.004052947657486352	0.0036423654242787595	0.006642121856048067	-0.0018808636495889486	-0.0034354024201691535	-0.1428025844851022	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260808_cal16_ner_e3
ner	low	20260808	late	0.9729341819547281	0.9511698880976602	0.003897174256934273	0.015255212088529646	0.027769295193385557	0.009731983014661938	0.017691770917168337	-3.9807734949365625	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260808_cal16_ner_e3
ner	low	20260809	uniform	0.953405782772799	0.915602255747819	0.003975536838523377	0.0	0.0	-0.010303875896870651	-0.018805434385061992	0.0	ptq_pg_w4a4_out8_low_uniform_fixedseed20260809_cal16_ner_e3
ner	low	20260809	probing	0.9637096586696696	0.9344076901328809	0.003823576321862827	0.010303875896870651	0.018805434385061992	0.0	0.0	-3.8223898515550303	ptq_pg_w4a4_out8_low_probing_bopfix2_fixedseed20260809_cal16_ner_e3
ner	low	20260809	fisher	0.9605747661867012	0.9286801065043743	0.004018974980004598	0.0071689834139022635	0.01307785075655532	-0.0031348924829683877	-0.005727583628506672	1.0926358689548943	ptq_fisher_w4a4_out8_low_fisher_bopfix2_fixedseed20260809_cal16_ner_e3
ner	low	20260809	probefisher	0.9614853911512038	0.9303407041852519	0.003939707715415219	0.008079608378404823	0.014738448437432994	-0.002224267518465828	-0.004066985947628998	-0.9012398718323933	ptq_fisher_w4a4_out8_low_probefisher_bopfix2_fixedseed20260809_cal16_ner_e3
ner	low	20260809	late	0.9632084790328507	0.9334906773660608	0.0038571299038598354	0.009802696260051702	0.01788842161824189	-0.0005011796368189492	-0.0009170127668201022	-2.978388566700363	ptq_pg_w4a4_out8_low_late_bopfix2_fixedseed20260809_cal16_ner_e3
